transaction_id,timestamp,account_id,account_type,amount,balance_after,balance_before,bank_id,counterparty_account_id,counterparty_isinternal,counterparty_name,counterparty_type,direction,fraud_confidence,is_fraud,source_location,status,user_id
978e1bf8-fc2a-42a0-933d-8d1de1e45ad6,2023-06-05 15:15:52.246,3f0a58d7-7f9d-435c-a4a8-4f42c3ce7d5e,bank_account,181,0,181,9a321c15-0f74-4c9d-8c0b-e22f3d3591cd,ba43e09b-5261-4c1a-8f57-46ef8d52513c,true,debit,,inbound,0,false,,confirmed,0d517341-11c4-458c-b827-72372347a720
fdad5d52-34ef-41b9-b82c-8f7af65314ff,2023-06-05 15:17:54.240,1c355e49-2100-44f9-8cbb-ea2adc4fe326,debit,9839.64,160296.36,170136,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,6b709541-a472-4d7f-9461-02da32906a8f,true,prepaid,,inbound,1,true,,confirmed,29d30220-3a0e-48b7-9b19-31dd6a93a00b
034eb66d-82d4-4424-a3b7-667bd72270f7,2023-06-05 15:18:30.243,09a2dae3-ae9a-4e54-a48a-24cd4ef737cf,bank_account,6131.21,0,0,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,e95a85a4-358c-4683-93c0-b6937caffea8,true,prepaid,,outbound,1,true,,confirmed,02dc863b-4088-40c5-81b0-aef52d3cf6f9
985f177c-c43b-45e8-86d4-16c42d258f19,2023-06-05 15:16:28.240,3f0a58d7-7f9d-435c-a4a8-4f42c3ce7d5e,bank_account,181,0,181,9a321c15-0f74-4c9d-8c0b-e22f3d3591cd,ba43e09b-5261-4c1a-8f57-46ef8d52513c,true,debit,,inbound,0,false,,confirmed,0d517341-11c4-458c-b827-72372347a720
4aeee106-ac95-4e9c-812f-052ec9733187,2023-06-05 15:15:50.247,bd74fbb5-9160-40eb-b436-01b49d2af468,prepaid,7861.64,168225.59,176087.23,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,76df01ab-4ef6-4e1b-b4bb-a5251b00ee0e,true,credit,,inbound,1,true,,confirmed,f163cf6e-1191-4e37-9455-14cfcc20805b
5ff9d5fe-938c-4e30-9461-7ad82bb2247e,2023-06-05 15:17:24.243,d2a2506d-70eb-42c1-a898-b7ff442ae6ca,credit,7107.77,176087.23,183195,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,29d30220-3a0e-48b7-9b19-31dd6a93a00b,true,investment,,inbound,1,true,,confirmed,00219539-d91a-48ae-8b3d-8fb17650ac70
95d37f37-c32a-42f2-8c63-83b7a5452a37,2023-06-05 15:15:42.245,1c355e49-2100-44f9-8cbb-ea2adc4fe326,debit,9839.64,160296.36,170136,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,6b709541-a472-4d7f-9461-02da32906a8f,true,prepaid,,inbound,1,true,,confirmed,29d30220-3a0e-48b7-9b19-31dd6a93a00b
459751fc-a0b5-4a68-a5e9-426a77de4292,2023-06-05 15:18:20.243,c4aab551-8add-4801-84d8-808f5e77b026,bank_account,4024.36,0,2671,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,bdc73af9-2acc-438f-91cb-85d1fe5683bc,true,debit,,inbound,0,false,,confirmed,7d771f56-4f15-4dde-b0d5-9459ab25e049
77031277-7abf-4285-97ed-7f585c60e557,2023-06-05 15:15:50.245,1c355e49-2100-44f9-8cbb-ea2adc4fe326,debit,9839.64,160296.36,170136,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,6b709541-a472-4d7f-9461-02da32906a8f,true,prepaid,,inbound,1,true,,confirmed,29d30220-3a0e-48b7-9b19-31dd6a93a00b
8ce79e2d-3870-4a5f-b483-0f6f9ff68a9f,2023-06-05 15:18:10.242,22e06e54-2421-4ed4-8e92-b598ef3405ab,prepaid,9374.72,11689.28,21064,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,d0237890-c888-4b6c-8ee0-2e55f920c7da,true,credit,,inbound,1,true,,confirmed,1ebf4d16-1922-4de3-9711-d4952319ef60
5083b020-5720-4f14-987d-e266f5fa19b7,2023-06-05 15:18:36.239,fe9e5b7e-c9d7-484c-b8d4-098fefceb976,credit,181,0,181,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,39d6df41-9ee6-4841-937a-eaa10e3b6102,true,credit,,inbound,0,false,,confirmed,e56b87f9-c93f-4164-9d34-fed08259ef38
e0a10caa-65ad-4426-93e4-6b0ab6518c8b,2023-06-05 15:18:32.244,e9b7b007-6b68-42de-b79c-1c4bc9ba7e71,debit,7817.71,46042.29,53860,59d3b0e0-0f96-4cd0-8c66-8a9f95b4b3a1,3e2d4314-1036-43ce-8585-1686a456f4c4,true,bank_account,,inbound,1,true,,confirmed,7b8a7991-e629-4d32-a600-79987258d92e
ad6ed122-1053-4897-9652-46c730c4e0d9,2023-06-05 15:18:06.240,c4aab551-8add-4801-84d8-808f5e77b026,bank_account,4024.36,0,2671,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,bdc73af9-2acc-438f-91cb-85d1fe5683bc,true,debit,,inbound,0,false,,confirmed,7d771f56-4f15-4dde-b0d5-9459ab25e049
a274def0-c106-4123-b4f7-757c96bd3c8e,2023-06-05 15:18:08.239,03cd2b5d-2473-4f0a-b394-042e61517baf,credit,11668.14,29885.86,41554,9a321c15-0f74-4c9d-8c0b-e22f3d3591cd,d0237890-c888-4b6c-8ee0-2e55f920c7da,true,credit,,inbound,1,true,,confirmed,5288ddb0-7a3a-42b7-947d-017c618c063f
2f940c33-563f-4e6c-8781-1d415e783bdd,2023-06-05 15:18:24.243,e31aa134-1c35-48b4-b78a-dc3436a9a798,credit,16505.51,0,0,59d3b0e0-0f96-4cd0-8c66-8a9f95b4b3a1,1d7aa5e4-0ebe-4f2f-9f06-fb86981a63e3,true,bank_account,,outbound,1,true,,confirmed,134a1c34-b0dc-40ce-8e2b-7d945a412e81
573c951d-aa72-4887-a51a-32c12c80def3,2023-06-05 15:18:32.244,f43d34a7-0bff-45be-90b0-3f16521b84a6,debit,4233.45,0,0,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,47dd2c8b-d098-4528-b185-2e264326c2bf,true,investment,,outbound,0,false,,confirmed,4bd92c1c-8e35-4621-bbdd-6d2cc4a41d40
83757175-f446-4f54-b70b-a3c626064f0e,2023-06-05 15:15:48.249,d2a2506d-70eb-42c1-a898-b7ff442ae6ca,credit,7107.77,176087.23,183195,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,29d30220-3a0e-48b7-9b19-31dd6a93a00b,true,investment,,inbound,1,true,,confirmed,00219539-d91a-48ae-8b3d-8fb17650ac70
f9da5085-32ee-4b19-a6a7-d6d599ad3b8f,2023-06-05 15:16:08.241,8cafb1b8-25cc-400f-9c45-ab3361d28b82,prepaid,61150.85,8491742.16,8430591.3,17e087fd-a19c-47c7-8b75-17330ceab1bb,e56b87f9-c93f-4164-9d34-fed08259ef38,true,credit,,outbound,1,true,,confirmed,c92df6bf-c6ed-4b62-84ca-7d9a527bb870
cf8c5f6d-c9ea-40ed-8de0-c453a605a987,2023-06-05 15:17:52.241,d2a2506d-70eb-42c1-a898-b7ff442ae6ca,credit,7107.77,176087.23,183195,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,29d30220-3a0e-48b7-9b19-31dd6a93a00b,true,investment,,inbound,1,true,,confirmed,00219539-d91a-48ae-8b3d-8fb17650ac70
72152927-bdcf-4249-a4de-0f532daf5d28,2023-06-05 15:17:54.239,77e1c576-42a0-4eae-a1ca-2647fe875db5,bank_account,7649.41,36786.34,44435.75,59d3b0e0-0f96-4cd0-8c66-8a9f95b4b3a1,b8ffafef-d889-472c-8a37-34cf77249bda,true,investment,,inbound,1,true,,confirmed,be2f025b-b98b-4bd6-ae3d-101c0a514b82
d0a22aa3-1120-4cd7-9583-d6096ea04689,2023-06-05 15:16:10.244,98c86bc1-a140-4aa0-909d-06c4227f32ab,bank_account,2054.84,20140.16,22195,59d3b0e0-0f96-4cd0-8c66-8a9f95b4b3a1,72c74a35-162a-4954-82be-ba3a52715916,true,debit,,inbound,0,false,,confirmed,eabdd10e-8913-441a-8499-a53122ade7e0
d222a1df-298b-4814-aa82-152ffd77e1c6,2023-06-05 15:16:28.240,fe9e5b7e-c9d7-484c-b8d4-098fefceb976,credit,181,0,181,0c13b312-7a8b-433d-af1a-c5ac3e5feb59,39d6df41-9ee6-4841-937a-eaa10e3b6102,true,credit,,inbound,0,false,,confirmed,e56b87f9-c93f-4164-9d34-fed08259ef38
